gene_id,gene_name
ENSG00000049618.24,ARID1B
ENSG00000049656.14,CLPTM1L
ENSG00000049759.19,NEDD4L
ENSG00000049768.16,FOXP3
ENSG00000049769.14,PPP1R3F
ENSG00000049860.14,HEXB
ENSG00000049883.15,PTCD2
ENSG00000050030.16,NEXMIF
ENSG00000050130.18,JKAMP
ENSG00000050165.18,DKK3
ENSG00000050327.15,ARHGEF5
ENSG00000050344.9,NFE2L3
ENSG00000050393.11,MCUR1
ENSG00000050405.13,LIMA1
ENSG00000050426.16,LETMD1
ENSG00000050438.17,SLC4A8
ENSG00000050555.19,LAMC3
ENSG00000050628.20,PTGER3
ENSG00000050730.16,TNIP3
ENSG00000050748.18,MAPK9
ENSG00000050767.17,COL23A1
ENSG00000050820.17,BCAR1
ENSG00000051009.11,FAM160A2
ENSG00000051108.15,HERPUD1
ENSG00000051128.19,HOMER3
ENSG00000051180.17,RAD51
ENSG00000051341.14,POLQ
ENSG00000051382.9,PIK3CB
ENSG00000051523.11,CYBA
ENSG00000051596.10,THOC3
ENSG00000051620.11,HEBP2
ENSG00000051825.15,MPHOSPH9
ENSG00000052126.14,PLEKHA5
ENSG00000052344.16,PRSS8
ENSG00000052723.12,SIKE1
ENSG00000052749.14,RRP12
ENSG00000052795.13,FNIP2
ENSG00000052802.13,MSMO1
ENSG00000052841.15,TTC17
ENSG00000052850.8,ALX4
ENSG00000053108.17,FSTL4
ENSG00000053254.16,FOXN3
ENSG00000053328.8,METTL24
ENSG00000053371.12,AKR7A2
ENSG00000053372.5,MRTO4
ENSG00000053438.11,NNAT
ENSG00000053501.13,USE1
ENSG00000053524.12,MCF2L2
ENSG00000053702.15,NRIP2
ENSG00000053747.17,LAMA3
ENSG00000053770.12,AP5M1
ENSG00000053900.11,ANAPC4
ENSG00000053918.18,KCNQ1
ENSG00000054116.12,TRAPPC3
ENSG00000054118.15,THRAP3
ENSG00000054148.18,PHPT1
ENSG00000054179.12,ENTPD2
ENSG00000054219.11,LY75
ENSG00000054267.22,ARID4B
ENSG00000054277.14,OPN3
ENSG00000054282.16,SDCCAG8
ENSG00000054356.14,PTPRN
ENSG00000054392.13,HHAT
ENSG00000054523.18,KIF1B
ENSG00000054598.9,FOXC1
ENSG00000054611.14,TBC1D22A
ENSG00000054654.19,SYNE2
ENSG00000054690.14,PLEKHH1
ENSG00000054793.14,ATP9A
ENSG00000054796.13,SPO11
ENSG00000054803.4,CBLN4
ENSG00000054938.16,CHRDL2
ENSG00000054965.11,FAM168A
ENSG00000054967.13,RELT
ENSG00000054983.17,GALC
ENSG00000055044.11,NOP58
ENSG00000055070.17,SZRD1
ENSG00000055118.16,KCNH2
ENSG00000055130.17,CUL1
ENSG00000055147.19,FAM114A2
ENSG00000055163.20,CYFIP2
ENSG00000055208.19,TAB2
ENSG00000055211.14,GINM1
ENSG00000055332.18,EIF2AK2
ENSG00000055483.19,USP36
ENSG00000055609.19,KMT2C
ENSG00000055732.13,MCOLN3
ENSG00000055813.6,CCDC85A
ENSG00000055917.16,PUM2
ENSG00000055950.16,MRPL43
ENSG00000055955.17,ITIH4
ENSG00000055957.11,ITIH1
ENSG00000056050.7,HPF1
ENSG00000056097.16,ZFR
ENSG00000056277.16,ZNF280C
ENSG00000056291.17,NPFFR2
ENSG00000056487.16,PHF21B
ENSG00000056558.11,TRAF1
ENSG00000056586.16,RC3H2
ENSG00000056736.10,IL17RB
ENSG00000056972.20,TRAF3IP2
ENSG00000056998.20,GYG2
ENSG00000057019.16,DCBLD2
ENSG00000057149.16,SERPINB3
ENSG00000057252.13,SOAT1
ENSG00000057294.15,PKP2
ENSG00000057468.7,MSH4
ENSG00000057593.14,F7
ENSG00000057608.17,GDI2
ENSG00000057657.17,PRDM1
ENSG00000057663.16,ATG5
ENSG00000057704.13,TMCC3
ENSG00000057757.10,PITHD1
ENSG00000057935.14,MTA3
ENSG00000058056.9,USP13
ENSG00000058063.16,ATP11B
ENSG00000058085.15,LAMC2
ENSG00000058091.17,CDK14
ENSG00000058262.10,SEC61A1
ENSG00000058272.19,PPP1R12A
ENSG00000058335.16,RASGRF1
ENSG00000058404.20,CAMK2B
ENSG00000058453.17,CROCC
ENSG00000058600.16,POLR3E
ENSG00000058668.15,ATP2B4
ENSG00000058673.17,ZC3H11A
ENSG00000058729.11,RIOK2
ENSG00000058799.15,YIPF1
ENSG00000058804.12,NDC1
ENSG00000058866.15,DGKG
ENSG00000059122.17,FLYWCH1
ENSG00000059145.19,UNKL
ENSG00000059377.18,TBXAS1
ENSG00000059378.13,PARP12
ENSG00000059573.9,ALDH18A1
ENSG00000059588.10,TARBP1
ENSG00000059691.12,GATB
ENSG00000059728.11,MXD1
ENSG00000059758.8,CDK17
ENSG00000059769.20,DNAJC25
ENSG00000059804.16,SLC2A3
ENSG00000059915.17,PSD
ENSG00000060069.17,CTDP1
ENSG00000060138.13,YBX3
ENSG00000060140.9,STYK1
ENSG00000060237.18,WNK1
ENSG00000060339.14,CCAR1
ENSG00000060491.16,OGFR
ENSG00000060558.4,GNA15
ENSG00000060566.14,CREB3L3
ENSG00000060642.11,PIGV
ENSG00000060656.20,PTPRU
ENSG00000060688.13,SNRNP40
ENSG00000060709.15,RIMBP2
ENSG00000060718.22,COL11A1
ENSG00000060749.16,QSER1
ENSG00000060762.19,MPC1
ENSG00000060971.19,ACAA1
ENSG00000060982.15,BCAT1
ENSG00000061273.18,HDAC7
ENSG00000061337.15,LZTS1
ENSG00000061455.11,PRDM6
ENSG00000061492.12,WNT8A
